author,books,similarity
Butler,1,0.4411928
Nietzsche,10,0.4214937
Thoreau,10,0.41031364
Tolstoy,10,0.38602674
Plato,9,0.36981595
Darwin,9,0.36544928
Dickens,9,0.3631755
Dostoyevsky,1,0.33730662
Gaskell,2,0.30233598
Bronte,6,0.30119976
Marcus Aurelius,5,0.30086184
Austen,10,0.29894066
