id,title,year,source,url,path,chars
bill_of_rights_1791,United States Bill of Rights,1791,National Archives,https://www.archives.gov/founding-docs/bill-of-rights-transcript,D:\ThoughtMap\data\legal_texts\bill_of_rights_1791.txt,3142
us_constitution_plus_bill_of_rights_1791,United States Constitution + Bill of Rights,1791,Combined local document,local,D:\ThoughtMap\data\legal_texts\us_constitution_plus_bill_of_rights_1791.txt,32208
