doc_id,title,author,source,philosophy,psychology,science,economics,karma,emotion,morality,ideal,individual,community
doc_000032,Life on the Mississippi,"Twain, Mark",gutendex,0.11660358,0.0887986,0.0906316,0.06013489,0.08123914,0.12551987,0.08868794,0.12606649,0.11223866,0.11007925
doc_000033,The 2003 CIA World Factbook,United States. Central Intelligence Agency,gutendex,0.17207935,0.09094554,0.19251215,0.033032782,0.06785828,0.0,0.10843645,0.10193825,0.09989376,0.13330336
doc_000034,The Love Letters of Mary Wollstonecraft to Gilbert Imlay,"Wollstonecraft, Mary",gutendex,0.16001403,0.0872597,0.10221321,0.018533375,0.09154674,0.15976794,0.053083483,0.09832431,0.119925484,0.10933169
doc_000035,Meditations,"Marcus Aurelius, Emperor of Rome",gutendex,0.12712586,0.112773925,0.11458622,0.019497437,0.06634452,0.11200117,0.13523641,0.13204837,0.11671542,0.06367065
doc_000036,Spoon River Anthology,"Masters, Edgar Lee",gutendex,0.16293736,0.13290554,0.10525661,0.0,0.055786096,0.085571274,0.09862316,0.080822565,0.13633156,0.14176583
doc_000037,The Confessions of St. Augustine,"Augustine, of Hippo, Saint",gutendex,0.106355816,0.08057103,0.14601402,0.0,0.115579896,0.112881675,0.1324095,0.13747351,0.10199345,0.06672105
doc_000038,The 2006 CIA World Factbook,United States. Central Intelligence Agency,gutendex,0.17325641,0.101454236,0.1885471,0.022312358,0.059486866,0.0018442174,0.08281496,0.102476776,0.11178587,0.15602116
doc_000039,The Book of the Thousand Nights and a Night — Volume 01 (of 10),,gutendex,0.15992157,0.069689505,0.097797945,0.024454225,0.10410086,0.114695415,0.119707726,0.1377683,0.109087855,0.062776536
doc_000040,A Tale of Two Cities,"Dickens, Charles",gutendex,0.11024228,0.09125717,0.08974089,0.03093907,0.050608676,0.15017138,0.09462353,0.12397127,0.14955285,0.10889283
doc_000041,The Picture of Dorian Gray,"Wilde, Oscar",gutendex,0.13194871,0.11382695,0.11676126,0.022214761,0.06775686,0.10372685,0.11656765,0.15452376,0.10800167,0.064671606
doc_000042,"Bidwell's Travels, from Wall Street to London Prison: Fifteen Years in Solitude","Bidwell, Austin",gutendex,0.064267874,0.087001316,0.13632144,0.0,0.07072007,0.1705093,0.020986918,0.16206145,0.24072139,0.04741019
doc_000043,"The Adventures of Tom Sawyer, Complete","Twain, Mark",gutendex,0.105387,0.11555182,0.061320692,0.03391795,0.078767076,0.15945852,0.07582093,0.12919162,0.12960158,0.1109828
doc_000044,"The Life of Charles Dickens, Vol. I-III, Complete","Forster, John",gutendex,0.13115649,0.07025262,0.08792154,0.04745561,0.108045466,0.13201231,0.119812846,0.09030762,0.1259975,0.08703799
doc_000045,The Importance of Being Earnest: A Trivial Comedy for Serious People,"Wilde, Oscar",gutendex,0.1392172,0.09333262,0.077555604,0.065417424,0.100146614,0.102205426,0.12014444,0.122333534,0.11505735,0.064589836
doc_000046,The History of Sir Richard Calmady: A Romance,"Malet, Lucas",gutendex,0.14355844,0.098103434,0.068528846,0.0,0.10867418,0.13056834,0.117947094,0.06569778,0.17296712,0.093954645
doc_000047,The Odyssey: Rendered into English prose for the use of those who cannot read the original,Homer,gutendex,0.09489385,0.067698754,0.0989769,0.0,0.052930463,0.14326738,0.06886771,0.17176412,0.22336069,0.07824011
