doc_id,author,title,source,source_url,text_hash,canonical_work_id,doi,isbn,wikidata_id,gutenberg_id,openlibrary_id,status,notes
doc_000000,"Hegel, Georg Wilhelm Friedrich",Hegel's Lectures on the History of Philosophy: Volume 3 (of 3),gutendex,https://www.gutenberg.org/ebooks/58169.txt.utf-8,50fde44f07ad354e3bfd9398c867da31360b6ca5021a51b0c68961ba753003fc,gutenberg:58169,,,,58169,,active,imported_from_gutendex_candidates
doc_000001,"Melville, Herman","Moby Dick; Or, The Whale",gutendex,https://www.gutenberg.org/ebooks/2701.txt.utf-8,948adba2fac40c77b5eb9754bb86bf81b4d9d028bb3372f8d331413d3ee27528,gutenberg:2701,,,,2701,,active,imported_from_gutendex_candidates
doc_000002,"Austen, Jane",Pride and Prejudice,gutendex,https://www.gutenberg.org/ebooks/1342.txt.utf-8,bd29ff0f33831041afb5682a9f1cc715cff45702893e7069f3390ea86ca933b1,gutenberg:1342,,,,1342,,active,imported_from_gutendex_candidates
doc_000003,"Shelley, Mary Wollstonecraft","Frankenstein; or, the modern prometheus",gutendex,https://www.gutenberg.org/ebooks/84.txt.utf-8,cff56b5e85dc851be0cc09fe16b2aeebb3f67a226a0605c8c8582bca4613d920,gutenberg:84,,,,84,,active,imported_from_gutendex_candidates
doc_000004,"Augustine, of Hippo, Saint","The City of God, Volume I",gutendex,https://www.gutenberg.org/ebooks/45304.txt.utf-8,045d22f820262f41cf7c766b0ef73d5376f3c699a4ce02a99bcaf20625ae939a,gutenberg:45304,,,,45304,,active,imported_from_gutendex_candidates
doc_000005,"Shakespeare, William",Romeo and Juliet,gutendex,https://www.gutenberg.org/ebooks/1513.txt.utf-8,3c1861ac3423989fe9547d613aaa37934c18d0fe1d72b30c9f304573541d0cf7,gutenberg:1513,,,,1513,,active,imported_from_gutendex_candidates
doc_000006,"Dostoyevsky, Fyodor",Crime and Punishment,gutendex,https://www.gutenberg.org/ebooks/2554.txt.utf-8,cabf8c10d9cbf250c455c32baab3476e7a6523c84d4c0521823e6a746a491f09,gutenberg:2554,,,,2554,,active,imported_from_gutendex_candidates
doc_000007,"Dumas, Alexandre; Maquet, Auguste",The Count of Monte Cristo,gutendex,https://www.gutenberg.org/ebooks/1184.txt.utf-8,800ac35f9b1295a5e092990dd7fd35920a86bbd032426b2fe8fb0bbacc267da6,gutenberg:1184,,,,1184,,active,imported_from_gutendex_candidates
doc_000008,"Forster, E. M. (Edward Morgan)",A Room with a View,gutendex,https://www.gutenberg.org/ebooks/2641.txt.utf-8,1473dac4a015b0b54256588bc5785ec96288f4beb66b56730fbfc2397743db00,gutenberg:2641,,,,2641,,active,imported_from_gutendex_candidates
doc_000009,"Carroll, Lewis",Alice's Adventures in Wonderland,gutendex,https://www.gutenberg.org/ebooks/11.txt.utf-8,b93e125a004c191f463c4b70fdbfa9417abe8a163b4b0e46048ecfd1f4c48bbb,gutenberg:11,,,,11,,active,imported_from_gutendex_candidates
doc_000010,"Eliot, George",Middlemarch,gutendex,https://www.gutenberg.org/ebooks/145.txt.utf-8,d438ae05d2f4e66477d9c4d8770fc0b041a1eaa9c9cad3d38cb89abcab61702e,gutenberg:145,,,,145,,active,imported_from_gutendex_candidates
doc_000011,"Shakespeare, William",The Complete Works of William Shakespeare,gutendex,https://www.gutenberg.org/ebooks/100.txt.utf-8,30d9ed3f9fe0a9a795c0c13bfb2bfc409ab463191540efa13d23262f7c44574f,gutenberg:100,,,,100,,active,imported_from_gutendex_candidates
doc_000012,"Stevenson, Robert Louis",The strange case of Dr. Jekyll and Mr. Hyde,gutendex,https://www.gutenberg.org/ebooks/43.txt.utf-8,f4f2ec3d1daaec7119c14f53ecf5b9d91f1450d3b92751cf384645d2c5ca852a,gutenberg:43,,,,43,,active,imported_from_gutendex_candidates
doc_000013,"Alcott, Louisa May","Little Women; Or, Meg, Jo, Beth, and Amy",gutendex,https://www.gutenberg.org/ebooks/37106.txt.utf-8,07f20a4fc7790ee0d6eb1be463b958ccc102b15a51520cca462a71b346239a46,gutenberg:37106,,,,37106,,active,imported_from_gutendex_candidates
doc_000014,"Wagner, Richard",My Life — Volume 1,gutendex,https://www.gutenberg.org/ebooks/5197.txt.utf-8,e8f847461be36a34eded14a1a37395cfc3f05c8b6884217460f21534e79dbdab,gutenberg:5197,,,,5197,,active,imported_from_gutendex_candidates
doc_000015,"Brontë, Charlotte",Jane Eyre: An Autobiography,gutendex,https://www.gutenberg.org/ebooks/1260.txt.utf-8,b03763bbde39ae2ccb9ce7cf6b100b465ae069aced14029d98e66de4052048c0,gutenberg:1260,,,,1260,,active,imported_from_gutendex_candidates
doc_000016,"Chambers, Robert W. (Robert William)",The King in Yellow,gutendex,https://www.gutenberg.org/ebooks/8492.txt.utf-8,0456f9881b0010b8ab623e595abfeb7dac5a25221c537fb9dd18463fdbaf2d29,gutenberg:8492,,,,8492,,active,imported_from_gutendex_candidates
